sale_id,location_id,product_id,date_key,quantity,unit_price,discount_percent,gross_amount,discount_amount,net_amount
SALE-00001,4,2,20260513,5,104.5,0,522.5,0.0,522.5
SALE-00002,1,2,20260521,5,110.0,0,550.0,0.0,550.0
SALE-00003,5,9,20260322,5,180.0,0,900.0,0.0,900.0
SALE-00004,6,1,20260617,4,61.75,5,247.0,12.35,234.65
SALE-00005,7,4,20260309,7,120.0,0,840.0,0.0,840.0
SALE-00006,3,10,20260522,6,304.0,0,1824.0,0.0,1824.0
SALE-00007,6,1,20260519,1,68.25,0,68.25,0.0,68.25
SALE-00008,2,10,20260612,8,320.0,15,2560.0,384.0,2176.0
SALE-00009,3,3,20260518,2,95.0,5,190.0,9.5,180.5
SALE-00010,3,8,20260606,8,70.0,0,560.0,0.0,560.0
SALE-00011,1,2,20260614,8,115.5,15,924.0,138.6,785.4
SALE-00012,2,9,20260530,3,180.0,0,540.0,0.0,540.0
SALE-00013,8,2,20260424,7,104.5,0,731.5,0.0,731.5
SALE-00014,5,3,20260508,3,95.0,0,285.0,0.0,285.0
SALE-00015,7,3,20260618,4,90.25,0,361.0,0.0,361.0
SALE-00016,4,1,20260305,8,65.0,15,520.0,78.0,442.0
SALE-00017,2,1,20260407,1,61.75,15,61.75,9.26,52.49
SALE-00018,8,1,20260612,5,61.75,10,308.75,30.88,277.87
SALE-00019,7,4,20260509,6,114.0,0,684.0,0.0,684.0
SALE-00020,4,10,20260602,2,336.0,5,672.0,33.6,638.4
SALE-00021,2,10,20260627,5,336.0,5,1680.0,84.0,1596.0
SALE-00022,5,1,20260416,8,65.0,10,520.0,52.0,468.0
SALE-00023,5,8,20260620,6,73.5,0,441.0,0.0,441.0
SALE-00024,3,10,20260410,5,320.0,15,1600.0,240.0,1360.0
SALE-00025,1,6,20260614,1,26.25,0,26.25,0.0,26.25
SALE-00026,3,6,20260508,2,26.25,10,52.5,5.25,47.25
SALE-00027,5,6,20260415,5,26.25,15,131.25,19.69,111.56
SALE-00028,2,5,20260511,8,150.0,15,1200.0,180.0,1020.0
SALE-00029,7,2,20260615,1,110.0,5,110.0,5.5,104.5
SALE-00030,5,5,20260408,3,150.0,5,450.0,22.5,427.5
SALE-00031,1,5,20260304,1,157.5,5,157.5,7.88,149.62
SALE-00032,7,5,20260429,8,157.5,0,1260.0,0.0,1260.0
SALE-00033,3,3,20260513,1,95.0,15,95.0,14.25,80.75
SALE-00034,8,6,20260316,8,23.75,15,190.0,28.5,161.5
SALE-00035,7,3,20260409,8,99.75,5,798.0,39.9,758.1
SALE-00036,5,3,20260519,7,95.0,10,665.0,66.5,598.5
SALE-00037,8,4,20260415,6,126.0,0,756.0,0.0,756.0
SALE-00038,6,10,20260409,6,320.0,5,1920.0,96.0,1824.0
SALE-00039,1,1,20260425,1,65.0,0,65.0,0.0,65.0
SALE-00040,7,4,20260613,8,120.0,5,960.0,48.0,912.0
SALE-00041,7,4,20260429,1,120.0,0,120.0,0.0,120.0
SALE-00042,3,2,20260323,7,104.5,15,731.5,109.72,621.78
SALE-00043,6,2,20260414,7,115.5,10,808.5,80.85,727.65
SALE-00044,2,4,20260317,5,120.0,0,600.0,0.0,600.0
SALE-00045,3,3,20260512,1,95.0,15,95.0,14.25,80.75
SALE-00046,7,9,20260413,7,189.0,10,1323.0,132.3,1190.7
SALE-00047,6,9,20260517,4,189.0,0,756.0,0.0,756.0
SALE-00048,1,8,20260501,5,70.0,15,350.0,52.5,297.5
SALE-00049,8,9,20260409,2,189.0,0,378.0,0.0,378.0
SALE-00050,1,6,20260301,6,25.0,0,150.0,0.0,150.0
SALE-00051,1,8,20260416,2,73.5,10,147.0,14.7,132.3
SALE-00052,7,9,20260601,7,189.0,15,1323.0,198.45,1124.55
SALE-00053,4,4,20260428,1,126.0,15,126.0,18.9,107.1
SALE-00054,8,7,20260404,2,80.75,5,161.5,8.07,153.43
SALE-00055,1,9,20260617,8,189.0,0,1512.0,0.0,1512.0
SALE-00056,8,2,20260331,1,110.0,0,110.0,0.0,110.0
SALE-00057,4,3,20260523,4,99.75,0,399.0,0.0,399.0
SALE-00058,4,1,20260412,6,65.0,0,390.0,0.0,390.0
SALE-00059,7,1,20260629,1,65.0,5,65.0,3.25,61.75
SALE-00060,3,10,20260425,3,304.0,0,912.0,0.0,912.0
SALE-00061,8,8,20260623,1,73.5,0,73.5,0.0,73.5
SALE-00062,5,2,20260625,5,115.5,0,577.5,0.0,577.5
SALE-00063,4,6,20260627,6,23.75,10,142.5,14.25,128.25
SALE-00064,5,4,20260415,3,120.0,0,360.0,0.0,360.0
SALE-00065,1,2,20260503,6,110.0,0,660.0,0.0,660.0
SALE-00066,3,3,20260601,4,90.25,10,361.0,36.1,324.9
SALE-00067,6,6,20260512,1,25.0,15,25.0,3.75,21.25
SALE-00068,5,10,20260511,1,320.0,5,320.0,16.0,304.0
SALE-00069,6,2,20260311,5,110.0,0,550.0,0.0,550.0
SALE-00070,3,1,20260408,6,68.25,10,409.5,40.95,368.55
SALE-00071,2,8,20260625,6,73.5,0,441.0,0.0,441.0
SALE-00072,1,6,20260521,6,23.75,0,142.5,0.0,142.5
SALE-00073,7,2,20260303,1,110.0,0,110.0,0.0,110.0
SALE-00074,3,3,20260331,2,95.0,5,190.0,9.5,180.5
SALE-00075,1,3,20260301,7,95.0,0,665.0,0.0,665.0
SALE-00076,8,9,20260412,6,171.0,5,1026.0,51.3,974.7
SALE-00077,7,10,20260514,4,320.0,5,1280.0,64.0,1216.0
SALE-00078,3,7,20260501,4,89.25,5,357.0,17.85,339.15
SALE-00079,3,5,20260623,2,142.5,0,285.0,0.0,285.0
SALE-00080,2,1,20260315,3,65.0,5,195.0,9.75,185.25
SALE-00081,4,8,20260329,2,73.5,0,147.0,0.0,147.0
SALE-00082,1,5,20260619,1,142.5,5,142.5,7.12,135.38
SALE-00083,2,3,20260425,7,95.0,15,665.0,99.75,565.25
SALE-00084,7,6,20260501,6,25.0,10,150.0,15.0,135.0
SALE-00085,7,10,20260628,3,336.0,15,1008.0,151.2,856.8
SALE-00086,8,8,20260506,6,70.0,0,420.0,0.0,420.0
SALE-00087,3,8,20260315,5,73.5,0,367.5,0.0,367.5
SALE-00088,8,10,20260401,4,336.0,0,1344.0,0.0,1344.0
SALE-00089,2,7,20260426,7,89.25,15,624.75,93.71,531.04
SALE-00090,7,4,20260422,1,120.0,10,120.0,12.0,108.0
SALE-00091,2,7,20260602,7,85.0,0,595.0,0.0,595.0
SALE-00092,1,8,20260304,6,73.5,0,441.0,0.0,441.0
SALE-00093,6,10,20260401,1,320.0,0,320.0,0.0,320.0
SALE-00094,4,1,20260520,2,65.0,10,130.0,13.0,117.0
SALE-00095,2,1,20260417,3,65.0,5,195.0,9.75,185.25
SALE-00096,2,2,20260411,1,110.0,0,110.0,0.0,110.0
SALE-00097,5,2,20260621,6,110.0,0,660.0,0.0,660.0
SALE-00098,1,2,20260516,8,110.0,0,880.0,0.0,880.0
SALE-00099,1,2,20260415,3,110.0,0,330.0,0.0,330.0
SALE-00100,3,10,20260407,3,336.0,0,1008.0,0.0,1008.0
SALE-00101,4,4,20260324,3,126.0,0,378.0,0.0,378.0
SALE-00102,1,5,20260311,2,142.5,15,285.0,42.75,242.25
SALE-00103,5,2,20260322,6,115.5,0,693.0,0.0,693.0
SALE-00104,8,4,20260323,4,120.0,5,480.0,24.0,456.0
SALE-00105,2,8,20260514,3,73.5,15,220.5,33.08,187.42
SALE-00106,3,10,20260421,3,336.0,0,1008.0,0.0,1008.0
SALE-00107,3,3,20260331,3,95.0,0,285.0,0.0,285.0
SALE-00108,3,3,20260411,8,99.75,15,798.0,119.7,678.3
SALE-00109,6,5,20260527,2,150.0,0,300.0,0.0,300.0
SALE-00110,2,3,20260608,5,99.75,0,498.75,0.0,498.75
SALE-00111,4,3,20260617,2,90.25,0,180.5,0.0,180.5
SALE-00112,1,4,20260507,6,126.0,15,756.0,113.4,642.6
SALE-00113,8,9,20260311,2,189.0,0,378.0,0.0,378.0
SALE-00114,5,4,20260518,4,114.0,5,456.0,22.8,433.2
SALE-00115,7,8,20260617,3,66.5,0,199.5,0.0,199.5
SALE-00116,8,10,20260311,5,304.0,0,1520.0,0.0,1520.0
SALE-00117,4,1,20260506,6,68.25,0,409.5,0.0,409.5
SALE-00118,6,2,20260627,3,104.5,0,313.5,0.0,313.5
SALE-00119,4,4,20260422,5,120.0,0,600.0,0.0,600.0
SALE-00120,6,8,20260326,3,73.5,0,220.5,0.0,220.5
SALE-00121,8,2,20260323,8,110.0,0,880.0,0.0,880.0
SALE-00122,7,8,20260406,2,73.5,0,147.0,0.0,147.0
SALE-00123,5,3,20260501,6,95.0,10,570.0,57.0,513.0
SALE-00124,5,10,20260313,2,320.0,0,640.0,0.0,640.0
SALE-00125,6,2,20260426,1,115.5,0,115.5,0.0,115.5
