date_key,full_date,year,quarter,month,month_name,day,weekday_name,is_weekend
20260101,2026-01-01,2026,1,1,January,1,Thursday,0
20260102,2026-01-02,2026,1,1,January,2,Friday,0
20260103,2026-01-03,2026,1,1,January,3,Saturday,1
20260104,2026-01-04,2026,1,1,January,4,Sunday,1
20260105,2026-01-05,2026,1,1,January,5,Monday,0
20260106,2026-01-06,2026,1,1,January,6,Tuesday,0
20260107,2026-01-07,2026,1,1,January,7,Wednesday,0
20260108,2026-01-08,2026,1,1,January,8,Thursday,0
20260109,2026-01-09,2026,1,1,January,9,Friday,0
20260110,2026-01-10,2026,1,1,January,10,Saturday,1
20260111,2026-01-11,2026,1,1,January,11,Sunday,1
20260112,2026-01-12,2026,1,1,January,12,Monday,0
20260113,2026-01-13,2026,1,1,January,13,Tuesday,0
20260114,2026-01-14,2026,1,1,January,14,Wednesday,0
20260115,2026-01-15,2026,1,1,January,15,Thursday,0
20260116,2026-01-16,2026,1,1,January,16,Friday,0
20260117,2026-01-17,2026,1,1,January,17,Saturday,1
20260118,2026-01-18,2026,1,1,January,18,Sunday,1
20260119,2026-01-19,2026,1,1,January,19,Monday,0
20260120,2026-01-20,2026,1,1,January,20,Tuesday,0
20260121,2026-01-21,2026,1,1,January,21,Wednesday,0
20260122,2026-01-22,2026,1,1,January,22,Thursday,0
20260123,2026-01-23,2026,1,1,January,23,Friday,0
20260124,2026-01-24,2026,1,1,January,24,Saturday,1
20260125,2026-01-25,2026,1,1,January,25,Sunday,1
20260126,2026-01-26,2026,1,1,January,26,Monday,0
20260127,2026-01-27,2026,1,1,January,27,Tuesday,0
20260128,2026-01-28,2026,1,1,January,28,Wednesday,0
20260129,2026-01-29,2026,1,1,January,29,Thursday,0
20260130,2026-01-30,2026,1,1,January,30,Friday,0
20260131,2026-01-31,2026,1,1,January,31,Saturday,1
20260201,2026-02-01,2026,1,2,February,1,Sunday,1
20260202,2026-02-02,2026,1,2,February,2,Monday,0
20260203,2026-02-03,2026,1,2,February,3,Tuesday,0
20260204,2026-02-04,2026,1,2,February,4,Wednesday,0
20260205,2026-02-05,2026,1,2,February,5,Thursday,0
