order_id,customer_id,product_id,date_key,quantity,unit_price,amount
ORD-0001,16,12,20260318,1,472.5,472.5
ORD-0002,13,12,20260122,1,427.5,427.5
ORD-0003,6,3,20260407,3,95.0,285.0
ORD-0004,2,6,20260414,2,1510.5,3021.0
ORD-0005,8,7,20260317,4,4360.5,17442.0
ORD-0006,11,2,20260323,4,6290.0,25160.0
ORD-0007,5,5,20260319,3,750.5,2251.5
ORD-0008,14,4,20260309,5,520.0,2600.0
ORD-0009,15,3,20260408,2,85.5,171.0
ORD-0010,18,11,20260221,4,1161.0,4644.0
ORD-0011,1,10,20260301,3,934.5,2803.5
ORD-0012,11,3,20260127,4,85.5,342.0
ORD-0013,13,4,20260415,4,520.0,2080.0
ORD-0014,3,5,20260411,1,750.5,750.5
ORD-0015,6,6,20260102,2,1431.0,2862.0
ORD-0016,15,3,20260112,5,99.75,498.75
ORD-0017,12,3,20260126,4,99.75,399.0
ORD-0018,18,3,20260221,3,90.25,270.75
ORD-0019,6,3,20260220,1,99.75,99.75
ORD-0020,14,4,20260213,3,494.0,1482.0
ORD-0021,6,1,20260128,3,650.0,1950.0
ORD-0022,10,2,20260412,3,5661.0,16983.0
ORD-0023,11,3,20260413,1,95.0,95.0
ORD-0024,12,2,20260421,1,6604.5,6604.5
ORD-0025,8,1,20260107,4,585.0,2340.0
ORD-0026,14,6,20260212,3,1510.5,4531.5
ORD-0027,3,3,20260219,2,95.0,190.0
ORD-0028,3,10,20260224,4,934.5,3738.0
ORD-0029,4,4,20260402,1,546.0,546.0
ORD-0030,6,1,20260217,5,682.5,3412.5
ORD-0031,14,11,20260222,3,1161.0,3483.0
ORD-0032,17,6,20260301,1,1431.0,1431.0
ORD-0033,1,7,20260113,4,4819.5,19278.0
ORD-0034,9,11,20260106,4,1354.5,5418.0
ORD-0035,12,12,20260419,3,405.0,1215.0
ORD-0036,4,7,20260424,1,4131.0,4131.0
ORD-0037,15,5,20260104,1,750.5,750.5
ORD-0038,14,3,20260228,5,85.5,427.5
ORD-0039,1,7,20260122,4,4131.0,16524.0
ORD-0040,10,11,20260203,3,1354.5,4063.5
ORD-0041,3,12,20260113,2,450.0,900.0
ORD-0042,6,11,20260424,4,1354.5,5418.0
ORD-0043,11,7,20260423,5,4360.5,21802.5
ORD-0044,10,5,20260222,4,750.5,3002.0
ORD-0045,4,12,20260402,5,427.5,2137.5
ORD-0046,14,9,20260303,4,2601.0,10404.0
ORD-0047,3,11,20260104,1,1225.5,1225.5
ORD-0048,1,1,20260220,1,682.5,682.5
ORD-0049,13,9,20260329,3,2745.5,8236.5
ORD-0050,9,6,20260215,5,1590.0,7950.0
ORD-0051,14,2,20260424,1,6604.5,6604.5
ORD-0052,8,11,20260409,3,1290.0,3870.0
ORD-0053,5,7,20260407,3,4819.5,14458.5
ORD-0054,1,6,20260430,4,1590.0,6360.0
ORD-0055,18,6,20260330,4,1431.0,5724.0
ORD-0056,18,3,20260116,2,90.25,180.5
ORD-0057,10,12,20260405,2,427.5,855.0
ORD-0058,14,6,20260410,3,1510.5,4531.5
ORD-0059,5,12,20260313,2,405.0,810.0
ORD-0060,1,1,20260116,2,585.0,1170.0
ORD-0061,7,2,20260114,3,5975.5,17926.5
ORD-0062,15,10,20260428,3,845.5,2536.5
ORD-0063,8,10,20260107,2,934.5,1869.0
ORD-0064,7,9,20260213,3,2601.0,7803.0
ORD-0065,2,1,20260301,5,650.0,3250.0
ORD-0066,9,4,20260108,1,520.0,520.0
ORD-0067,16,6,20260106,2,1510.5,3021.0
ORD-0068,18,9,20260317,4,2745.5,10982.0
ORD-0069,13,5,20260404,5,829.5,4147.5
ORD-0070,15,6,20260307,2,1669.5,3339.0
ORD-0071,2,3,20260104,2,90.25,180.5
ORD-0072,16,4,20260108,4,494.0,1976.0
ORD-0073,15,6,20260117,3,1510.5,4531.5
ORD-0074,9,12,20260418,5,405.0,2025.0
ORD-0075,6,5,20260315,1,829.5,829.5
ORD-0076,9,6,20260403,5,1669.5,8347.5
ORD-0077,3,2,20260302,1,5975.5,5975.5
ORD-0078,5,9,20260309,1,2601.0,2601.0
ORD-0079,8,7,20260313,4,4131.0,16524.0
ORD-0080,12,2,20260119,4,5661.0,22644.0
ORD-0081,1,10,20260127,3,890.0,2670.0
ORD-0082,15,1,20260220,5,650.0,3250.0
ORD-0083,12,1,20260418,5,617.5,3087.5
ORD-0084,8,10,20260210,2,934.5,1869.0
ORD-0085,5,1,20260403,1,650.0,650.0
ORD-0086,9,6,20260420,5,1431.0,7155.0
ORD-0087,1,8,20260323,4,108.0,432.0
ORD-0088,13,3,20260122,5,85.5,427.5
ORD-0089,6,9,20260226,2,2601.0,5202.0
ORD-0090,6,12,20260426,3,450.0,1350.0
ORD-0091,15,8,20260314,4,126.0,504.0
ORD-0092,18,5,20260109,3,829.5,2488.5
ORD-0093,14,11,20260404,1,1290.0,1290.0
ORD-0094,12,6,20260222,5,1590.0,7950.0
ORD-0095,5,11,20260316,5,1161.0,5805.0
ORD-0096,15,4,20260325,4,494.0,1976.0
ORD-0097,9,2,20260127,1,6290.0,6290.0
ORD-0098,6,7,20260115,2,4819.5,9639.0
ORD-0099,8,2,20260401,1,5661.0,5661.0
ORD-0100,1,4,20260429,3,494.0,1482.0
ORD-0101,6,12,20260411,3,405.0,1215.0
ORD-0102,8,7,20260131,2,4131.0,8262.0
ORD-0103,2,11,20260413,2,1225.5,2451.0
ORD-0104,1,5,20260320,2,790.0,1580.0
ORD-0105,14,6,20260210,4,1590.0,6360.0
ORD-0106,12,6,20260116,5,1510.5,7552.5
ORD-0107,13,4,20260304,1,468.0,468.0
ORD-0108,8,2,20260429,2,6290.0,12580.0
ORD-0109,6,7,20260213,4,4360.5,17442.0
ORD-0110,4,3,20260410,2,85.5,171.0
ORD-0111,9,1,20260322,3,617.5,1852.5
ORD-0112,17,4,20260426,3,468.0,1404.0
ORD-0113,15,2,20260408,3,5661.0,16983.0
ORD-0114,7,7,20260329,4,4131.0,16524.0
ORD-0115,5,8,20260406,4,120.0,480.0
ORD-0116,13,6,20260304,1,1431.0,1431.0
ORD-0117,4,5,20260103,5,750.5,3752.5
ORD-0118,8,6,20260209,3,1431.0,4293.0
ORD-0119,5,2,20260205,4,5975.5,23902.0
ORD-0120,12,3,20260307,3,95.0,285.0
ORD-0121,14,9,20260321,4,3034.5,12138.0
ORD-0122,11,12,20260103,5,427.5,2137.5
ORD-0123,12,11,20260113,5,1290.0,6450.0
ORD-0124,1,11,20260408,1,1225.5,1225.5
ORD-0125,16,4,20260303,1,494.0,494.0
ORD-0126,3,10,20260306,4,845.5,3382.0
ORD-0127,15,5,20260301,2,750.5,1501.0
ORD-0128,8,8,20260106,2,108.0,216.0
ORD-0129,10,3,20260317,4,99.75,399.0
ORD-0130,11,1,20260430,2,682.5,1365.0
ORD-0131,4,10,20260401,5,801.0,4005.0
ORD-0132,11,9,20260322,2,2745.5,5491.0
ORD-0133,11,9,20260115,3,2890.0,8670.0
ORD-0134,16,9,20260116,2,3034.5,6069.0
ORD-0135,14,11,20260203,2,1354.5,2709.0
ORD-0136,8,10,20260319,1,845.5,845.5
ORD-0137,12,11,20260310,1,1290.0,1290.0
ORD-0138,13,2,20260421,4,6290.0,25160.0
ORD-0139,11,6,20260124,2,1669.5,3339.0
ORD-0140,5,2,20260220,3,5975.5,17926.5
ORD-0141,16,10,20260324,1,934.5,934.5
ORD-0142,1,2,20260224,1,5975.5,5975.5
ORD-0143,14,2,20260320,1,6290.0,6290.0
ORD-0144,14,12,20260210,5,405.0,2025.0
ORD-0145,3,11,20260311,5,1161.0,5805.0
ORD-0146,7,9,20260319,2,2745.5,5491.0
